Video analysis state log

Face Model	General
Calibration	Continuous
Start time	11/18/2022 10:09:53.479
Filename	C:\Charles-Pension\Session-11112022\14-11\PC7-14-11-2022-15-41-15.mp4
Frame rate	6.866524756

Age	Gender
28.000000000	Female


Video Time	Dominant Expression
00:00:00.000	Unknown
00:00:01.310	Neutral
00:00:21.845	Happy
00:00:22.718	Neutral
00:00:34.515	Sad
00:00:35.971	Neutral
00:00:42.088	Sad
00:00:42.816	Neutral
00:01:05.826	Happy
00:01:06.700	Neutral
00:01:19.661	Unknown
00:01:20.390	Neutral
00:01:25.341	Happy
00:01:26.361	Neutral
00:01:28.108	Sad
00:01:29.128	Neutral
00:01:39.468	Sad
00:01:42.526	Unknown
00:01:43.108	Sad
00:01:43.982	Neutral
00:01:46.021	Sad
00:01:53.594	Neutral
00:01:57.381	Sad
00:01:58.109	Neutral
00:01:58.837	Sad
00:02:00.002	Surprised
00:02:01.750	Sad
00:02:05.536	Happy
00:02:06.701	Neutral
00:02:10.925	Happy
00:02:12.672	Neutral
00:02:27.381	Sad
00:02:28.692	Neutral
00:02:29.420	Sad
00:02:30.148	Neutral
00:02:55.052	Sad
00:02:56.654	Neutral
00:03:03.790	Sad
00:03:06.265	Neutral
00:03:18.936	Sad
00:03:21.120	Neutral
00:03:29.276	Sad
00:03:30.878	Neutral
00:03:31.606	Sad
00:03:41.800	Neutral
00:03:46.460	Sad
00:03:48.208	Neutral
00:03:48.936	Sad
00:03:54.470	Neutral
00:03:57.820	Sad
00:04:01.752	Neutral
00:04:07.286	Sad
00:04:09.034	Neutral
00:04:20.102	Unknown
00:04:20.684	Neutral
00:04:24.762	Sad
00:04:25.490	Neutral
00:04:30.151	Sad
00:04:31.170	Neutral
00:04:41.801	Sad
00:04:44.714	Neutral
00:04:58.695	Sad
00:05:07.433	Neutral
00:05:13.258	Sad
00:05:15.443	Neutral
00:05:20.249	Sad
00:05:21.268	Neutral
00:05:22.142	Sad
00:05:24.618	Neutral
00:05:27.967	Sad
00:05:35.104	Neutral
00:05:39.473	Sad
00:05:41.803	Neutral
00:05:45.880	Sad
00:05:48.793	Neutral
00:05:52.871	Sad
00:05:56.657	Neutral
00:06:08.017	Sad
00:06:11.221	Neutral
00:06:19.813	Sad
00:06:21.415	Neutral
00:06:25.784	Sad
00:06:28.697	Neutral
00:06:34.959	Sad
00:06:41.658	Neutral
00:06:42.678	Sad
00:06:47.047	Neutral
00:06:48.649	Sad
00:06:54.328	Unknown
00:06:55.639	Neutral
00:07:01.756	Sad
00:07:02.484	Neutral
00:07:09.474	Sad
00:07:12.387	Neutral
00:07:14.572	Sad
00:07:17.047	Neutral
00:07:28.844	Sad
00:07:29.863	Neutral
00:07:35.106	Sad
00:07:38.892	Neutral
00:07:45.300	Sad
00:07:53.893	Neutral
00:08:02.340	Sad
00:08:04.087	Neutral
00:08:07.437	Sad
00:08:14.427	Neutral
00:08:25.350	Sad
00:08:28.554	Neutral
00:08:49.816	Sad
00:08:50.690	Neutral
00:09:16.759	Sad
00:09:23.749	Neutral
00:10:31.469	Sad
00:10:36.712	Neutral
00:10:37.440	Sad
00:10:43.556	Neutral
00:10:45.595	Sad
00:10:47.489	Neutral
00:10:51.129	Sad
00:10:54.479	Neutral
00:11:00.304	Unknown
00:11:01.033	Neutral
00:11:07.295	Sad
00:11:08.897	Neutral
00:11:16.470	Sad
00:11:24.043	Neutral
00:11:27.538	Unknown
00:11:28.849	Sad
00:11:31.761	Neutral
00:11:32.635	Sad
00:11:41.228	Neutral
00:11:42.101	Sad
00:11:43.121	Neutral
00:11:53.752	Sad
00:11:55.208	Neutral
00:12:03.218	Sad
00:12:04.675	Neutral
00:12:05.985	Sad
00:12:07.733	Neutral
00:12:09.189	Sad
