Video analysis state log

Face Model	General
Calibration	Continuous
Start time	11/18/2022 02:14:10.921
Filename	C:\Charles-Pension\Session-11112022\11-11\PC6-11-11-2022-12-14-45.mp4
Frame rate	5.838751549

Age	Gender
26.000000000	Male


Video Time	Dominant Expression
00:00:00.000	Unknown
00:00:06.165	Neutral
00:00:11.988	Sad
00:00:12.845	Neutral
00:00:14.900	Unknown
00:00:17.126	Neutral
00:00:23.977	Unknown
00:00:26.032	Neutral
00:01:50.297	Unknown
00:01:51.496	Neutral
00:01:53.380	Unknown
00:02:03.142	Neutral
00:02:05.369	Unknown
00:02:08.109	Neutral
00:02:09.137	Unknown
00:02:09.993	Neutral
00:02:11.534	Unknown
00:02:15.816	Neutral
00:02:17.529	Unknown
00:02:22.838	Neutral
00:02:23.695	Unknown
00:02:30.374	Neutral
00:02:31.230	Unknown
00:02:31.916	Neutral
00:02:33.114	Unknown
00:02:33.800	Neutral
00:02:41.335	Unknown
00:02:43.391	Neutral
00:02:45.788	Unknown
00:02:48.186	Neutral
00:02:49.214	Unknown
00:02:58.120	Neutral
00:03:00.860	Unknown
00:03:02.744	Neutral
00:03:11.821	Unknown
00:03:12.678	Neutral
00:03:46.932	Sad
00:03:47.959	Neutral
00:03:49.843	Sad
00:03:51.385	Neutral
00:04:16.390	Sad
00:04:17.075	Neutral
00:04:18.959	Sad
00:04:20.672	Neutral
00:04:22.213	Sad
00:04:23.241	Neutral
00:06:23.301	Unknown
00:06:36.146	Neutral
00:06:48.477	Unknown
00:06:49.162	Neutral
00:07:18.278	Unknown
00:07:19.648	Neutral
00:07:21.361	Unknown
00:07:22.046	Neutral
00:07:34.720	Unknown
00:07:36.604	Neutral
00:07:40.714	Unknown
00:07:43.455	Neutral
00:07:49.963	Unknown
00:08:12.399	Neutral
00:08:13.256	Unknown
00:08:27.128	Neutral
00:08:32.095	Unknown
00:08:33.979	Neutral
00:08:36.720	Unknown
00:08:38.775	Angry
00:08:42.885	Neutral
00:08:43.742	Angry
00:08:48.708	Neutral
00:08:53.333	Unknown
00:08:54.018	Neutral
00:08:54.874	Unknown
00:09:03.438	Neutral
00:09:12.515	Unknown
00:09:13.200	Angry
00:09:14.570	Neutral
00:09:50.365	Unknown
00:10:11.260	Neutral
00:10:12.459	Unknown
00:10:17.255	Neutral
00:10:24.791	Sad
00:10:32.840	Neutral
00:10:33.868	Unknown
00:13:55.795	Neutral
00:13:57.850	Unknown
00:13:58.706	Neutral
00:14:04.187	Unknown
00:14:05.043	Neutral
00:14:10.353	Unknown
00:18:36.163	Neutral
00:18:38.047	Unknown
00:18:39.417	Neutral
00:18:53.632	Unknown
00:19:00.826	Neutral
00:19:03.908	Unknown
00:19:33.024	Neutral
00:19:34.052	Unknown
00:20:15.328	Neutral
00:20:16.013	Unknown
00:20:18.068	Angry
