StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Facilidad,Dificultad,Dificultad_1_TEXT,InfoUtil_1,PostuBene,Recomendar_NPS_GROUP,Recomendar,SelectMode.PP,SelectMode.under50,Comp1.PP,Comp2.PP,Comp3.PP,Comp4.PP,Comp5.PP,Comp6.PP,Comp7.PP,Curiosity_1,Confidence_1,Intro,Q18500,Q18500-repeat,Q15000,Q13500,Q12700,Q12400,Q13100,Q14300,Q14700,Q13900,Q16700,Q15900,Q15500,Q16300,Q17600,Q17100,Q18000,Q22200,Q24200,Q23200,Q23700,Q22700,Q25200,Q25800,Q24700,Q20300,Q19400,Q18900,Q19800,Q21200,Q20700,Q21700,MathChild,Confused,QMath1,QMath2,QMath3,LotteryRisk,Risk_Tende_1,Comentario_final,SC0,survey,show-up,age,UID,uemail,esfuerzo,total_reward,perfil,website,genero,name1,name2,name3,name4,Pn1,pn1,name5,name6,name7,name8,verb1,verb2,verb3,noun1,dueño,contratado,un,herido,tetra,lo,solo,ciego,mismo,declarado,el,hn1,dueña,contratada,una,herida,la,sola,ciega,misma,declarada,ella
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,¿Qué tan fácil fue encontrar la información que buscaba?,¿Tuvo alguna dificultad para navegar por nuestro sitio web? - Selected Choice,¿Tuvo alguna dificultad para navegar por nuestro sitio web? - Sí. ¿Cuál? - Texto,¿La información disponible en el sitio web es suficiente para tomar una decisión? - Click to write Choice 1,Cuando llegue a los 65 años ¿cree que vaya a solicitar los beneficios públicos de pensión?,Considerando su experiencia en este sitio web ¿Qué tan probable es que lo recomiende a un familiar o amigo? - Grupo,Considerando su experiencia en este sitio web ¿Qué tan probable es que lo recomiende a un familiar o amigo?,Considerando su perfil ¿Cuál modalidad de pensión le parece más adecuada?,Considerando ese perfil ¿Cuál modalidad de pensión le parece más adecuada?,¿A qué edad puede solicitar los beneficios de vejez?,¿Qué se necesita para realizar la solicitud de beneficios en línea?,¿Puede un/a extranjero/a acceder a los beneficios de pensiones?,¿Cómo se financia la Pensión Garantizada Universal?,¿Por qué motivo a alguien le podrían rechazar el acceso a los beneficios?,¿Es necesario estar jubilado/a para acceder a la Pensión Garantizada Universal?,¿En qué monto fue fijada la Pensión Superior en 2022?,¿Cuánta curiosidad siente por conocer las respuestas a las preguntas? - 1,"Usted ha contestado una serie de preguntas que le permiten obtener hasta $3.500 adicionales.

¿Qué tan seguro/a se siente de sus respuestas? - 1","A continuación, le haremos una serie de preguntas relacionadas con sus preferencias y conocimientos monetarios. Es muy importante que lea con atención las siguientes situaciones.","Por favor, lea atentamente la siguiente pregunta:



Suponga que le dan la posibilidad de elegir entre recibir un pago hoy o un pago dentro de 12 meses. El pago hoy es igual para todas las situaciones. El pago dentro de 12 meses es diferente para cada caso. Para cada una de estas situaciones quisiéramos saber cuál prefiere usted. Vamos a suponer que no hay inflación, es decir, los precios a futuro serán los mismos que los precios actuales.

 


Por favor, considere lo siguiente:  

 

¿Preferiría recibir $12.000 hoy ó $18.500 dentro de 12 meses?","Piénselo de nuevo. Por favor considere lo siguiente:  

 

¿Preferiría recibir $12.000 hoy ó $18.500 dentro de 12 meses?",¿Preferiría recibir $12.000 hoy ó $15.000 dentro de 12 meses?,¿Preferiría recibir $12.000 hoy ó $13.500 dentro de 12 meses?,¿Preferiría recibir $12.000 hoy ó $12.700 dentro de 12 meses?,¿Preferiría recibir $12.000 hoy ó $12.400 dentro de 12 meses?,¿Preferiría recibir $12.000 hoy ó $13.100 dentro de 12 meses?,¿Preferiría recibir $12.000 hoy ó $14.300 dentro de 12 meses?,¿Preferiría recibir $12.000 hoy ó $14.700 dentro de 12 meses?,¿Preferiría recibir $12.000 hoy ó $13.900 dentro de 12 meses?,¿Preferiría recibir $12.000 hoy ó $16.700 dentro de 12 meses?,¿Preferiría recibir $12.000 hoy ó $15.900 dentro de 12 meses?,¿Preferiría recibir $12.000 hoy ó $15.500 dentro de 12 meses?,¿Preferiría recibir $12.000 hoy ó $16.300 dentro de 12 meses?,¿Preferiría recibir $12.000 hoy ó $17.600 dentro de 12 meses?,¿Preferiría recibir $12.000 hoy ó $17.100 dentro de 12 meses?,¿Preferiría recibir $12.000 hoy ó $18.000 dentro de 12 meses?,¿Preferiría recibir $12.000 hoy ó $22.200 dentro de 12 meses?,¿Preferiría recibir $12.000 hoy ó $24.200 dentro de 12 meses?,¿Preferiría recibir $12.000 hoy ó $23.200 dentro de 12 meses?,¿Preferiría recibir $12.000 hoy ó $23.700 dentro de 12 meses?,¿Preferiría recibir $12.000 hoy ó $22.700 dentro de 12 meses?,¿Preferiría recibir $12.000 hoy ó $25.200 dentro de 12 meses?,¿Preferiría recibir $12.000 hoy ó $25.800 dentro de 12 meses?,¿Preferiría recibir $12.000 hoy ó $24.700 dentro de 12 meses?,¿Preferiría recibir $12.000 hoy ó $20.300 dentro de 12 meses?,¿Preferiría recibir $12.000 hoy ó $19.400 dentro de 12 meses?,¿Preferiría recibir $12.000 hoy ó $18.900 dentro de 12 meses?,¿Preferiría recibir $12.000 hoy ó $19.800 dentro de 12 meses?,¿Preferiría recibir $12.000 hoy ó $21.200 dentro de 12 meses?,¿Preferiría recibir $12.000 hoy ó $20.700 dentro de 12 meses?,¿Preferiría recibir $12.000 hoy ó $21.700 dentro de 12 meses?,"En relación a otros compañeros de curso, ¿cómo le iba a usted en matemáticas cuando tenía 10 años?","¿Está de acuerdo o en desacuerdo con la siguiente frase? 
 

Los servicios financieros son complicados y me confundo","Suponiendo que usted saca un crédito hipotecario por $100.000.000 con una tasa de interés anual de 5%. Si usted no pagara ese crédito, ¿cuánto sería el total de la deuda después de 5 años?","Suponiendo que usted tiene un crédito hipotecario por $200.000.000 con una tasa de interés anual de 5%. Si usted realiza pagos de $10.000.000 anuales, ¿cuánto se demoraría en pagar el crédito completo?","Si usted compra unas zapatillas y una pelota de fútbol por $110.000. Las zapatillas cuestan $100.000 más que la pelota, ¿cuánto cuesta la pelota?","Por favor elija una de las siguientes loterías, ¿cuál opción prefiere?","¿Cómo se ve a sí mismo/a?

¿Es usted una persona que generalmente se encuentra completamente preparada para tomar riesgos o intenta evitar tomar riesgos? 

 

Por favor haga clic en la siguiente escala, donde el valor 0 significa: ""Le tengo temor al riesgo"" y el valor 10 significa: ""Completamente preparado/a para tomar riesgos"". Usted puede usar los valores intermedios para hacer su estimación. - 1","¿Cómo fue su experiencia realizando esta encuesta?

Por favor use este espacio para dejar un comentario, le agradecemos mucho su tiempo y esfuerzo el completar este estudio.",Score,survey,show-up,age,UID,uemail,esfuerzo,total_reward,perfil,website,genero,name1,name2,name3,name4,Pn1,pn1,name5,name6,name7,name8,verb1,verb2,verb3,noun1,dueño,contratado,un,herido,tetra,lo,solo,ciego,mismo,declarado,el,hn1,dueña,contratada,una,herida,la,sola,ciega,misma,declarada,ella
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID608""}","{""ImportId"":""QID610""}","{""ImportId"":""QID610_1_TEXT""}","{""ImportId"":""QID609_1""}","{""ImportId"":""QID368""}","{""ImportId"":""QID597_NPS_GROUP""}","{""ImportId"":""QID597""}","{""ImportId"":""QID495""}","{""ImportId"":""QID607""}","{""ImportId"":""QID473""}","{""ImportId"":""QID496""}","{""ImportId"":""QID470""}","{""ImportId"":""QID468""}","{""ImportId"":""QID469""}","{""ImportId"":""QID472""}","{""ImportId"":""QID471""}","{""ImportId"":""QID485_1""}","{""ImportId"":""QID486_1""}","{""ImportId"":""QID560""}","{""ImportId"":""QID561""}","{""ImportId"":""QID562""}","{""ImportId"":""QID563""}","{""ImportId"":""QID564""}","{""ImportId"":""QID565""}","{""ImportId"":""QID566""}","{""ImportId"":""QID567""}","{""ImportId"":""QID568""}","{""ImportId"":""QID569""}","{""ImportId"":""QID570""}","{""ImportId"":""QID571""}","{""ImportId"":""QID572""}","{""ImportId"":""QID573""}","{""ImportId"":""QID574""}","{""ImportId"":""QID575""}","{""ImportId"":""QID576""}","{""ImportId"":""QID577""}","{""ImportId"":""QID578""}","{""ImportId"":""QID579""}","{""ImportId"":""QID580""}","{""ImportId"":""QID581""}","{""ImportId"":""QID582""}","{""ImportId"":""QID583""}","{""ImportId"":""QID594""}","{""ImportId"":""QID584""}","{""ImportId"":""QID585""}","{""ImportId"":""QID595""}","{""ImportId"":""QID596""}","{""ImportId"":""QID586""}","{""ImportId"":""QID587""}","{""ImportId"":""QID588""}","{""ImportId"":""QID589""}","{""ImportId"":""QID417""}","{""ImportId"":""QID418""}","{""ImportId"":""QID419""}","{""ImportId"":""QID420""}","{""ImportId"":""QID421_TEXT""}","{""ImportId"":""QID422""}","{""ImportId"":""QID498_1""}","{""ImportId"":""QID598_TEXT""}","{""ImportId"":""SC_9vMUO5Et0GwbFeC""}","{""ImportId"":""survey""}","{""ImportId"":""show-up""}","{""ImportId"":""age""}","{""ImportId"":""UID""}","{""ImportId"":""uemail""}","{""ImportId"":""esfuerzo""}","{""ImportId"":""total_reward""}","{""ImportId"":""perfil""}","{""ImportId"":""website""}","{""ImportId"":""genero""}","{""ImportId"":""name1""}","{""ImportId"":""name2""}","{""ImportId"":""name3""}","{""ImportId"":""name4""}","{""ImportId"":""Pn1""}","{""ImportId"":""pn1""}","{""ImportId"":""name5""}","{""ImportId"":""name6""}","{""ImportId"":""name7""}","{""ImportId"":""name8""}","{""ImportId"":""verb1""}","{""ImportId"":""verb2""}","{""ImportId"":""verb3""}","{""ImportId"":""noun1""}","{""ImportId"":""dueño""}","{""ImportId"":""contratado""}","{""ImportId"":""un""}","{""ImportId"":""herido""}","{""ImportId"":""tetra""}","{""ImportId"":""lo""}","{""ImportId"":""solo""}","{""ImportId"":""ciego""}","{""ImportId"":""mismo""}","{""ImportId"":""declarado""}","{""ImportId"":""el""}","{""ImportId"":""hn1""}","{""ImportId"":""dueña""}","{""ImportId"":""contratada""}","{""ImportId"":""una""}","{""ImportId"":""herida""}","{""ImportId"":""la""}","{""ImportId"":""sola""}","{""ImportId"":""ciega""}","{""ImportId"":""misma""}","{""ImportId"":""declarada""}","{""ImportId"":""ella""}"
2022-07-27 05:25:51,2022-07-27 05:30:50,IP Address,186.11.99.132,100,298,True,2022-07-27 05:30:51,R_82i294qH0VG9r9L,,,,,-33.4513,-70.6653,anonymous,ES-ES,4,No,,8,Sí,Promotor,9,Pensión Garantizada Universal,,A partir de los 65 años,Tener ClaveÚnica,Sí,A través del Estado con los impuestos,Por encontrarse dentro del 9% de mayores ingresos,No,$1.000.000,10,10,,Hoy,,,,,,,,,,,,,,,,,Dentro de 12 meses,,,,,,,,Hoy,,,,Hoy,,Hoy,Mejor que el promedio,De acuerdo,Menos de $120.000.000,Entre 20 y 30 años,10000,100% probabilidades de ganar $720,7,,7,OE_USACH_NN,3500,54,5686-2-3-54-,5686,3500,10000,,3,2,Paulina,Ximena,Daniela,Mariana,Ella,ella,Isabel,Catalina,Josefa,Gabriela,cansada,delicada,contenta,beneficiario,dueña,contratada,una,herida,tetrapléjica,la,sola,ciega,misma,declarada,ella,esposo,,,,,,,,,,
2022-07-27 06:03:26,2022-07-27 06:24:20,IP Address,181.43.208.7,100,1254,True,2022-07-27 06:24:21,R_XAJhYECkunrivSN,,,,,-33.4513,-70.6653,anonymous,ES-ES,Muy fácil  5,No,,8,Sí,Promotor,9,Pensión Garantizada Universal,,A partir de los 65 años,Tener ClaveÚnica,No,Ambos: con impuestos y ahorros previsionales,Por encontrarse dentro del 9% de mayores ingresos,Sí,$200.000,10,7,,Dentro de 12 meses,,Dentro de 12 meses,Dentro de 12 meses,Hoy,,Dentro de 12 meses,,,,,,,,,,,,,,,,,,,,,,,,,,Mucho mejor que el promedio,Totalmente en desacuerdo,Más de $125.000.000,Nunca se terminaría de pagar el crédito,5000,50% probabilidades de ganar $1.080 y 50% probabilidades de ganar $540,9,"Muy interesante, las preguntas de probabilidades fueron las más difíciles",6,OE_USACH_NN,3500,59,1090-1-1-59-,1090,1500,8000,,1,1,Francisco,Mauricio,Pedro,Carlos,El,el,Santiago,Juan,Luciano,Gabriel,cansado,delicado,contento,beneficiaria,,,,,tetrapléjico,,,,,,,esposa,dueño,contratado,un,herido,lo,solo,ciego,mismo,declarado,él
2022-07-27 06:13:23,2022-07-27 06:33:20,IP Address,190.164.96.244,100,1196,True,2022-07-27 06:33:21,R_3Gp0do2MtUBhHCO,,,,,-36.8335,-73.0487,anonymous,ES-ES,4,No,,5,Sí,Promotor,10,Pensión Garantizada Universal,,A partir de los 65 años,Tener ClaveÚnica,No sabe,A través del Estado con los impuestos,Por encontrarse dentro del 50% de menores ingresos,No,$1.000.000,10,10,,Dentro de 12 meses,,Dentro de 12 meses,Dentro de 12 meses,Hoy,,Dentro de 12 meses,,,,,,,,,,,,,,,,,,,,,,,,,,Mejor que el promedio,Ni de acuerdo ni en desacuerdo,Más de $125.000.000,Entre 20 y 30 años,10000,100% probabilidades de ganar $720,7,"Reforme algunos conocimientos sobre las pensiones y también quedé con dudas con respecto a otros, con respecto a lo que dicen las autoridades del gobierno y lo escrito",6,OE_USACH_NN,3500,51,4524-2-8-51-,4524,2500,9000,,8,2,Paulina,Ximena,Daniela,Mariana,Ella,ella,Isabel,Catalina,Josefa,Gabriela,cansada,delicada,contenta,beneficiario,dueña,contratada,una,herida,tetrapléjica,la,sola,ciega,misma,declarada,ella,esposo,,,,,,,,,,
2022-07-27 06:37:21,2022-07-27 06:48:23,IP Address,186.78.22.100,100,661,True,2022-07-27 06:48:23,R_3gMIszJ5DNWWrax,,,,,-33.0447,-71.5984,anonymous,ES-ES,Muy fácil  5,No,,10,Sí,Promotor,10,Pensión Garantizada Universal,,A partir de los 65 años,Tener ClaveÚnica,Sí,Ambos: con impuestos y ahorros previsionales,Por encontrarse dentro del 9% de mayores ingresos,No,$1.000.000,10,9,,Dentro de 12 meses,,Dentro de 12 meses,Dentro de 12 meses,Hoy,,Hoy,,,,,,,,,,,,,,,,,,,,,,,,,,Más o menos igual al promedio,En desacuerdo,Entre $120.000.000 y $125.000.000,Entre 30 y 40 años,10000,50% probabilidades de ganar $1.440 y 50% probabilidades de ganar $360,8,"Fue una encuesta dinámica, fácil de entender. Aclara las dudas básicas con una presentación muy didáctica. ",6,OE_USACH_NN,3500,61,223-2-2-61-,223,3000,9500,,2,2,Paulina,Ximena,Daniela,Mariana,Ella,ella,Isabel,Catalina,Josefa,Gabriela,cansada,delicada,contenta,beneficiario,dueña,contratada,una,herida,tetrapléjica,la,sola,ciega,misma,declarada,ella,esposo,,,,,,,,,,
2022-07-27 06:37:35,2022-07-27 06:55:18,IP Address,181.160.219.202,100,1063,True,2022-07-27 06:55:18,R_1Ei1ykFV4PBYELl,,,,,-38.7315,-72.5992,anonymous,ES-ES,Muy fácil  5,No,,10,Sí,Promotor,10,Pensión Garantizada Universal,,A partir de los 60 años para mujeres y de los 65 para hombres,Tener ClaveÚnica,Sí,A través del Estado con los impuestos,Por encontrarse dentro del 9% de mayores ingresos,Sí,$1.000.000,10,10,,Dentro de 12 meses,,Dentro de 12 meses,Hoy,,,,Hoy,Hoy,,,,,,,,,,,,,,,,,,,,,,,,Más o menos igual al promedio,De acuerdo,Más de $125.000.000,Entre 30 y 40 años,10000,50% probabilidades de ganar $2.160 y 50% probabilidades de ganar $0,8,entretenida,6,OE_USACH_NN,3500,55,211-1-8-55-,211,2500,9000,,8,1,Francisco,Mauricio,Pedro,Carlos,El,el,Santiago,Juan,Luciano,Gabriel,cansado,delicado,contento,beneficiaria,,,,,tetrapléjico,,,,,,,esposa,dueño,contratado,un,herido,lo,solo,ciego,mismo,declarado,él
2022-07-27 06:41:07,2022-07-27 07:01:21,IP Address,186.107.70.216,100,1214,True,2022-07-27 07:01:22,R_3fH6JiFaQIKuy6q,,,,,-33.4513,-70.6653,anonymous,ES-ES,Muy fácil  5,No,,7,Sí,Pasivo,8,Pensión Garantizada Universal,,A partir de los 65 años,Tener ClaveÚnica,Sí,A través del Estado con los impuestos,Por encontrarse dentro del 9% de mayores ingresos,Sí,$1.000.000,10,9,,Dentro de 12 meses,,Hoy,,,,,,,,Hoy,,,,Dentro de 12 meses,Dentro de 12 meses,,,,,,,,,,,,,,,,,Mejor que el promedio,Ni de acuerdo ni en desacuerdo,Más de $125.000.000,Menos de 20 años,5000,50% probabilidades de ganar $1.800 y 50% probabilidades de ganar $180,8,"Muy interesante, creo que indaga más de lo sospechado. Por el título se veía inocente.",8,OE_USACH_NN,3500,64,839-2-1-64-,839,3000,9500,,1,2,Paulina,Ximena,Daniela,Mariana,Ella,ella,Isabel,Catalina,Josefa,Gabriela,cansada,delicada,contenta,beneficiario,dueña,contratada,una,herida,tetrapléjica,la,sola,ciega,misma,declarada,ella,esposo,,,,,,,,,,
2022-07-27 06:57:33,2022-07-27 07:05:16,IP Address,181.203.13.14,100,462,True,2022-07-27 07:05:16,R_3FJ4fGTa1HNKCU7,,,,,-33.4513,-70.6653,anonymous,ES-ES,4,No,,9,Sí,Promotor,10,Pensión Garantizada Universal,,A partir de los 65 años,Tener ClaveÚnica,Sí,A través del Estado con los impuestos,Por encontrarse dentro del 9% de mayores ingresos,No,$200.000,10,10,,Hoy,,,,,,,,,,,,,,,,,Hoy,Hoy,,,,Hoy,Hoy,,,,,,,,,Más o menos igual al promedio,Ni de acuerdo ni en desacuerdo,Entre $120.000.000 y $125.000.000,Entre 20 y 30 años,10000,100% probabilidades de ganar $720,6,Entretenido una encuesta diferente de las que suelo responder,6,OE_USACH_NN,3500,58,4242-2-3-58-,4242,3000,9500,,3,2,Paulina,Ximena,Daniela,Mariana,Ella,ella,Isabel,Catalina,Josefa,Gabriela,cansada,delicada,contenta,beneficiario,dueña,contratada,una,herida,tetrapléjica,la,sola,ciega,misma,declarada,ella,esposo,,,,,,,,,,
2022-07-27 06:59:02,2022-07-27 07:05:24,IP Address,181.160.219.202,100,382,True,2022-07-27 07:05:25,R_3L0YiNonvlCjmrY,,,,,-38.7315,-72.5992,anonymous,ES-ES,Muy fácil  5,No,,10,Sí,Promotor,10,Pensión Garantizada Universal,,A partir de los 65 años,Tener ClaveÚnica,Sí,Ambos: con impuestos y ahorros previsionales,Por encontrarse dentro del 9% de mayores ingresos,No,$1.000.000,10,10,,Dentro de 12 meses,,Hoy,,,,,,,,Hoy,,,,Hoy,,Dentro de 12 meses,,,,,,,,,,,,,,,,Peor que al promedio,Totalmente de acuerdo,Más de $125.000.000,Nunca se terminaría de pagar el crédito,5000,50% probabilidades de ganar $2.160 y 50% probabilidades de ganar $0,10,"ESta encuesta tiene un bug, porque una vez finalizada debería cerrarse pero no lo hace. Entra en un loop y se puede seguir respondiendo hasta el infinito. Lo cual , obviamente provocará problemas al tener que pagarle a los participantes que, en un hipotetico caso , serían muchisimos si la gente obra malintencionadamente.",9,OE_USACH_NN,3500,55,211-1-8-55-,211,3000,9500,,8,1,Francisco,Mauricio,Pedro,Carlos,El,el,Santiago,Juan,Luciano,Gabriel,cansado,delicado,contento,beneficiaria,,,,,tetrapléjico,,,,,,,esposa,dueño,contratado,un,herido,lo,solo,ciego,mismo,declarado,él
