"Created date","Updated date","userid","cmvideoplay_invsinafp.p2","volverinicio_contestar.p2","volverinicio_invconafp.p2","bcontestaryn_inicio.p2","rsh_pgusinafp.p2","volveratras_ps.p2","videoplay_cm.p2","bleaesto_masinfo.p2","cm_inicio.p2","cu_masinfo.p2","videopausa_cm.p2","rsh_pguconafp.p2","ejpgu_pguconafp.p2","ps_inicio.p2","ci_invsinafp.p2","cm_instrucciones.p2","ejpgu_masinfo.p2","pguconafp_inicio.p2","volveratras_cu.p2","rsh_inicio.p2","volverinicio_pgusinafp.p2","cm_contestar.p2","bcontestaryn_masinfo.p2","cmvideoplay_pgusinafp.p2","volveratras_ci.p2","psvideoplay_pgusinafp.p2","volveratras_rsh.p2","ps_instrucciones.p2","volverinicio_instrucciones.p2","volverinicio_pgusconafp.p2","rsh_masinfo.p2","psvideoplay_pguconafp.p2","bleaesto_inicio.p2","psvideopausa_invsinafp.p2","ci_inicio.p2","ci_masinfo.p2","cm_masinfo.p2","cmvideopausa_pguconafp.p2","volveratras_masinfo.p2","cu_inicio.p2","volverinicio_clickaqui.p2","ps_masinfo.p2","volveratras_cm.p2","ps_contestar.p2","cmvideoplay_pguconafp.p2","cu_pgusinafp.p2","invsinafp_inicio.p2","volverinicio_invsinafp.p2","pgusinafp_inicio.p2","y_contestar.p2","cmvideopausa_invsinafp.p2","cmvideopausa_pgusinafp.p2","ejpgu_inicio.p2","n_contestar.p2","ci_invconafp.p2","invconafp_inicio.p2","rsh_invconafp.p2","rsh_invsinafp.p2","volveratras_clickaqui.p2","psvideopausa_pgusinafp.p2","videoplay_ps.p2","videopausa_ps.p2","inicio_wix.p2","psvideopausa_pguconafp.p2","psvideoplay_invconafp.p2","cmvideoplay_invconfp.p2","psvideoplay_invsinafp.p2","psvideopausa_invconafp.p2","cmvideopausa_invconafp.p2"
2022-07-29T15:55:31Z,2022-07-29T17:03:50Z,"7595-1-2-67-0",,,,"2022-07-29 13:03:41",,,"2022-06-29 11:56:32 ; 2022-06-29 13:01:29 ; 2022-06-29 13:01:36 ; 2022-06-29 13:01:41 ; 2022-06-29 13:03:05",,"2022-07-29 11:56:22",,"2022-06-29 11:58:55 ; 2022-06-29 13:02:57",,,,,,,,,,,,,,,,,,,,,,"2022-07-29 11:55:38",,,,,,,,"2022-06-29 11:56:11",,"2022-06-29 13:02:00 ; 2022-06-29 13:02:40 ; 2022-06-29 13:02:56 ; 2022-06-29 13:03:03 ; 2022-06-29 13:03:12",,,,,,,"2022-06-29 13:03:51",,,,,,,,,,,,,"2022-07-29 11:55:32 ; 2022-07-29 11:56:12 ; 2022-07-29 13:03:18",,,,,,
2022-08-01T14:52:26Z,2022-08-01T14:56:29Z,"2741-2-2-59-0",,,,"2022-08-01 10:56:26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-08-01 10:52:24",,,,,,
2022-07-30T04:13:02Z,2022-07-30T04:22:56Z,"6213-2-2-51-0",,,,"2022-07-30 00:23:28",,,"2022-07-30 00:18:52 ; 2022-07-30 00:21:46 ; 2022-07-30 00:22:01",,"2022-07-30 00:15:10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-07-30 00:23:17",,,,,,,"2022-07-30 00:23:40",,,,,,,,,,,,,"2022-07-30 00:13:47 ; 2022-07-30 00:23:19",,,,,,
2022-07-28T23:59:23Z,2022-07-29T00:00:23Z,"2684-1-2-61-0",,,,"2022-07-28 20:00:03",,,,,"2022-07-28 19:59:46",,,,,,,,,,,,,,,,,,,,,,,,"2022-07-28 19:59:31",,,,,,,,"2022-06-28 19:59:39",,"2022-06-28 19:59:52",,,,,,,"2022-06-28 20:00:23",,,,,,,,,,,,,"2022-07-28 19:59:23 ; 2022-07-28 19:59:40 ; 2022-07-28 19:59:52",,,,,,
2022-08-01T15:44:03Z,2022-08-01T15:53:18Z,"900-2-2-57-0",,,,"2022-08-01 11:53:11",,"2022-08-01 11:52:19","2022-08-01 11:44:12",,"2022-08-01 11:44:09",,,,,"2022-08-01 11:48:27",,,,,,,,,,"2022-08-01 11:52:45",,,,,,,,,,,,,,,,,,,"2022-08-01 11:48:18",,,,,,"2022-08-01 11:52:35","2022-08-01 11:53:18",,,,,,,,,,,"2022-08-01 11:48:32",,"2022-08-01 11:44:03 ; 2022-08-01 11:48:19 ; 2022-08-01 11:52:20 ; 2022-08-01 11:53:00",,,,,,
2022-08-01T13:57:57Z,2022-08-01T13:59:07Z,"1700-2-2-58-0",,,,"2022-08-01 09:58:56",,"2022-08-01 09:58:35",,,,,,,,"2022-08-01 09:58:29",,,,,,,,,,,,,,,,,,,"2022-08-01 09:57:59",,,,,,,,"2022-08-01 09:58:14",,,,,,,,,"2022-08-01 09:59:05",,,,,,,,,,,,,"2022-08-01 09:57:55 ; 2022-08-01 09:58:15 ; 2022-08-01 09:58:36",,,,,,
2022-07-29T13:30:48Z,2022-07-29T13:40:49Z,"6-1-2-51-0",,,,"2022-07-29 09:31:54 ; 2022-07-29 09:40:29",,,,,,,,"2022-06-29 09:35:09",,,,,,"2022-07-29 09:33:15",,,"2022-06-29 09:31:46",,,,,,"2022-06-29 09:38:56",,,,,,"2022-07-29 09:30:51",,,,,,,,,,,,,,,,"2022-07-29 09:31:14 ; 2022-07-29 09:34:40","2022-06-29 09:40:48",,,,,,,,,,,,,"2022-07-29 09:30:47 ; 2022-07-29 09:31:02 ; 2022-07-29 09:32:50 ; 2022-07-29 09:33:36 ; 2022-07-29 09:34:03 ; 2022-07-29 09:34:28 ; 2022-07-29 09:40:26",,,,,,
2022-08-01T18:46:07Z,2022-08-01T18:57:31Z,"1354-2-2-51-0",,"2022-08-01 14:57:16",,"2022-08-01 14:55:13",,,"2022-08-01 14:47:41",,"2022-08-01 14:47:22",,,,,,,,,,,,,,,,"2022-08-01 14:55:07",,,,"2022-08-01 14:46:16",,,,"2022-08-01 14:46:20",,"2022-08-01 14:52:56",,,,,,"2022-08-01 14:47:02",,"2022-08-01 14:51:46",,,,,,"2022-08-01 14:57:30","2022-08-01 14:55:26",,,,,,,,,,,,,"2022-08-01 14:46:06 ; 2022-08-01 14:46:17 ; 2022-08-01 14:47:03 ; 2022-08-01 14:51:47 ; 2022-08-01 14:52:39 ; 2022-08-01 14:55:08 ; 2022-08-01 14:57:16",,,,,,
2022-08-01T13:55:03Z,2022-08-01T13:55:37Z,"8927-1-2-63-0",,,,"2022-08-01 09:55:26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-08-01 09:55:36",,,,,,,,,,,,,"2022-08-01 09:55:02",,,,,,
2022-07-29T13:35:12Z,2022-07-30T18:06:12Z,"4320-2-2-52-0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-07-29 09:35:08 ; 2022-07-29 09:35:19 ; 2022-07-30 10:28:17 ; 2022-07-30 14:06:12",,,,,,
