"Created date","Updated date","userid","gf_clickaqui.p5","ps_masinfo.p5","ps_inicio.p5","cm_clickaqui.p5","cm_masinfo.p5","videoplay_cm.p5","volveratras_pg.p5","volveratras_difmodmix.p5","gf_masinfo.p5","difmodmix_inicio.p5","bleaesto_masinfo.p5","rpahorros_inicio.p5","ps_instrucciones.p5","volverinicio_instrucciones.p5","volveratras_ps.p5","cm_inicio.p5","volverinicio_clickaqui.p5","volveratras_gf.p5","pg_masinfo.p5","gf_inicio.p5","volveratras_ctiempo.p5","volveratras_cm.p5","modmixtas_inicio.p5","videopausa_ps.p5","difmodmix_masinfo.p5","rpsalud_inicio.p5","pg_inicio.p5","ctiempo_inicio.p5","videopausa_cm.p5","cm_instrucciones.p5","ctiempo_masinfo.p5","bcontestaryn_masinfo.p5","pg_rv.p5","inicio_wix.p5","videoplay_ps.p5","rv_inicio.p5","y_contestar.p5","bleaesto_inicio.p5","bcontestaryn_inicio.p5","volverinicio_rv.p5","gf_rv.p5","cmvideoplay_rv.p5","cmvideopausa_rv.p5","psvideoplay_rv.p5","volverinicio_masinfo.p5","psvideopausa_rv.p5","ps_contestar.p5","cm_contestar.p5","n_contestar.p5"
2022-07-29T20:06:13Z,2022-07-29T20:38:58Z,"6165-1-5-61-0","2022-06-29 16:21:51",,,"2022-06-29 16:21:29",,"2022-06-29 16:05:01 ; 2022-06-29 16:05:08 ; 2022-06-29 16:05:12 ; 2022-06-29 16:05:16 ; 2022-06-29 16:05:29 ; 2022-06-29 16:05:48 ; 2022-06-29 16:06:04 ; 2022-06-29 16:06:27 ; 2022-06-29 16:06:41 ; 2022-06-29 16:07:14 ; 2022-06-29 16:07:24 ; 2022-06-29 16:07:36 ; 2022-06-29 16:21:34","2022-06-29 16:30:36","2022-06-29 16:35:31",,,"2022-06-29 16:20:43",,,,,"2022-07-29 16:04:56",,"2022-06-29 16:25:52","2022-06-29 16:29:13",,"2022-06-29 16:36:34","2022-06-29 16:21:47",,"2022-06-29 16:20:21","2022-06-29 16:30:41",,,,"2022-06-29 16:13:08",,"2022-06-29 16:26:03 ; 2022-06-29 16:35:42","2022-06-29 16:13:25 ; 2022-06-29 16:36:36",,"2022-07-29 16:04:02 ; 2022-07-29 16:04:51","2022-06-29 16:15:13 ; 2022-06-29 16:15:17 ; 2022-06-29 16:15:22 ; 2022-06-29 16:15:28",,"2022-06-29 16:14:09 ; 2022-06-29 16:36:46",,,,,,,,,,"2022-06-29 16:15:08",,
2022-07-29T13:47:03Z,2022-07-29T13:47:14Z,"6703-1-5-53-0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-07-29 09:47:00",,,,,"2022-07-29 09:47:11",,,,,,,,,,
2022-07-29T21:50:36Z,2022-07-29T22:10:30Z,"2775-1-5-63-0",,,"2022-07-29 18:02:48",,,"2022-07-29 17:51:57 ; 2022-07-29 17:57:41 ; 2022-07-29 17:57:43 ; 2022-07-29 17:57:49 ; 2022-07-29 17:58:03",,,,,,,,,"2022-07-29 18:07:49","2022-07-29 17:51:52",,"2022-07-29 18:11:18",,,,"2022-07-29 18:02:45",,,,,,,"2022-07-29 17:55:36 ; 2022-07-29 17:57:54",,,,,"2022-07-29 17:51:39 ; 2022-07-29 18:02:46 ; 2022-07-29 18:07:50 ; 2022-07-29 18:11:24","2022-07-29 18:02:53","2022-07-29 18:07:59","2022-07-29 18:11:33",,"2022-07-29 18:11:28","2022-07-29 18:11:24","2022-07-29 18:09:06","2022-07-29 18:08:05","2022-07-29 18:08:49","2022-07-29 18:08:52",,"2022-07-29 18:09:03",,,
2022-07-30T14:04:08Z,2022-07-30T14:04:32Z,"8688-2-5-53-0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-07-30 10:04:06",,,"2022-07-30 10:04:30",,"2022-07-30 10:04:23",,,,,,,,,,
2022-07-29T15:42:20Z,2022-07-29T15:50:36Z,"9002-1-5-63-0",,,"2022-07-29 11:42:52",,,,,,,,,"2022-07-29 11:49:29",,,,,"2022-06-29 11:42:37",,,,,,,,,,,,,,,,,"2022-07-29 11:42:38 ; 2022-07-29 11:48:00 ; 2022-07-29 11:48:43 ; 2022-07-29 11:50:13","2022-06-29 11:42:57","2022-07-29 11:48:16","2022-06-29 11:50:35","2022-07-29 11:42:17","2022-07-29 11:50:26",,,"2022-06-29 11:48:28",,,,,,,
2022-07-28T18:06:32Z,2022-07-28T18:16:02Z,"1015-2-5-60-0","2022-06-28 14:14:31",,,"2022-06-28 14:07:40",,"2022-06-28 14:07:50",,,,,,,,,,,"2022-06-28 14:15:32","2022-06-28 14:15:25",,,,"2022-06-28 14:14:25",,,,,,,,,,,,"2022-06-28 14:15:40",,,"2022-06-28 14:16:01","2022-06-28 14:06:31","2022-06-28 14:15:53",,,,,,,,,,
2022-07-29T21:18:46Z,2022-07-29T21:33:38Z,"476-2-5-55-0",,,"2022-07-29 17:26:02",,,"2022-07-29 17:18:55",,,,,,,,,"2022-07-29 17:31:07","2022-07-29 17:18:44","2022-07-29 17:18:33",,,,,"2022-07-29 17:25:31",,,,,,,,,,,,"2022-07-29 17:17:33 ; 2022-07-29 17:18:34 ; 2022-07-29 17:25:33 ; 2022-07-29 17:31:09 ; 2022-07-29 17:31:21","2022-07-29 17:26:11",,"2022-07-29 17:32:25","2022-07-29 17:17:36","2022-07-29 17:32:06",,,,,,,,,,
2022-08-01T13:31:17Z,2022-08-01T13:31:17Z,"167-2-5-59-0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-08-01 09:31:17",,,,,,,,,,,,,,,
2022-07-30T04:13:52Z,2022-07-30T04:22:08Z,"8563-1-5-54-0",,,,,,,,,,,,,,,,"2022-07-30 00:14:17",,,,,,,,,,,,,,,,,,"2022-07-30 00:13:51 ; 2022-07-30 00:21:42",,,"2022-07-30 00:22:07",,"2022-07-30 00:21:58",,,,,,,,,,
2022-07-29T14:49:18Z,2022-07-29T14:52:23Z,"8844-2-5-61-0",,,"2022-07-29 10:51:17",,,"2022-06-29 10:49:28 ; 2022-06-29 10:49:32 ; 2022-06-29 10:49:51 ; 2022-06-29 10:50:07",,,,,,,,,,"2022-07-29 10:49:24",,,,,,"2022-06-29 10:50:56",,,,"2022-07-29 10:52:21",,,"2022-06-29 10:49:49",,,,,"2022-07-29 10:49:17 ; 2022-07-29 10:50:57 ; 2022-07-29 10:52:00 ; 2022-07-29 10:52:18",,,,,,,,,,,,,,,
2022-07-29T15:53:22Z,2022-07-29T15:55:03Z,"983-2-5-58-0",,,,,,,,,,,,,,,,,"2022-06-29 11:53:53",,,,,,,,,,,,,,,,,"2022-07-29 11:53:20 ; 2022-07-29 11:53:54 ; 2022-07-29 11:55:02",,,,"2022-07-29 11:53:23",,,,,,,,,,,
2022-08-01T17:00:47Z,2022-08-01T17:02:31Z,"2944-2-5-61-0",,,"2022-08-01 13:01:30",,,,,,,,,,,,"2022-08-01 13:02:07",,"2022-08-01 13:01:12",,,,,,,,,"2022-08-01 13:02:20",,,,,,,,"2022-08-01 13:00:43 ; 2022-08-01 13:01:13 ; 2022-08-01 13:01:24 ; 2022-08-01 13:02:07","2022-08-01 13:01:34",,,"2022-08-01 13:00:54",,,,,,,,,,,
2022-08-01T01:19:58Z,2022-08-01T01:20:37Z,"7461-2-5-57-0",,,,,,,,,,,,,,,,,"2022-07-31 21:20:08",,,,,,,,,,,,,,,,,"2022-07-31 21:19:56 ; 2022-07-31 21:20:09",,,"2022-07-31 21:20:36","2022-07-31 21:20:01","2022-07-31 21:20:27",,,,,,,,,,
2022-07-29T15:42:20Z,2022-07-29T15:42:20Z,"9002-1-5-63-0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-07-29 11:42:16",,,,,,,,,,,,,,,
2022-07-28T18:13:14Z,2022-07-28T18:19:31Z,"7373-2-5-58-0",,,,,,,"2022-06-28 14:14:46",,,,,,,,,,,"2022-06-28 14:19:00",,,,,,,,,"2022-06-28 14:13:14",,,,,,,,,"2022-06-28 14:14:51","2022-06-28 14:19:31",,"2022-06-28 14:19:17","2022-06-28 14:19:08","2022-06-28 14:17:12",,,,,,,,
2022-07-29T13:22:12Z,2022-07-29T13:24:11Z,"6167-1-5-60-0",,,,,,,,,,,,,,"2022-06-29 09:23:01",,,,,,,,,,,,,,,,,,,,"2022-07-29 09:22:12 ; 2022-07-29 09:23:02",,,"2022-06-29 09:24:08","2022-07-29 09:22:26","2022-07-29 09:24:02",,,,,,,,,,
2022-07-27T22:30:30Z,2022-07-27T22:47:17Z,"2875-1-5-61-0",,,,,,"2022-06-27 18:34:39",,,,,,"2022-06-27 18:39:19",,"2022-06-27 18:30:29",,"2022-06-27 18:34:28","2022-06-27 18:31:27 ; 2022-06-27 18:34:24",,,,,"2022-06-27 18:39:01",,,,,,,,,,,,"2022-06-27 18:33:03 ; 2022-06-27 18:39:04 ; 2022-06-27 18:46:45",,,"2022-06-27 18:47:16","2022-06-27 18:30:38 ; 2022-06-27 18:33:41","2022-06-27 18:46:47",,,,,,,,,,
2022-07-31T01:11:51Z,2022-07-31T01:21:55Z,"5015-1-5-56-0",,,,,,"2022-07-30 21:12:52",,,,,,,,,,"2022-07-30 21:12:45","2022-07-30 21:20:11",,,,,"2022-07-30 21:19:27",,,,,,,,,,,,"2022-07-30 21:11:47 ; 2022-07-30 21:12:17 ; 2022-07-30 21:19:28 ; 2022-07-30 21:19:45 ; 2022-07-30 21:19:51 ; 2022-07-30 21:20:12 ; 2022-07-30 21:20:15 ; 2022-07-30 21:20:39",,,"2022-07-30 21:21:51","2022-07-30 21:19:53","2022-07-30 21:20:45",,,,,,,,,,
2022-07-31T01:39:25Z,2022-07-31T02:18:32Z,"4358-2-5-55-0",,,"2022-07-30 21:49:12",,,"2022-07-30 21:42:11","2022-07-30 22:10:05 ; 2022-07-30 22:10:11",,,,,"2022-07-30 22:05:21",,"2022-07-30 22:07:51","2022-07-30 21:54:14","2022-07-30 21:42:04",,"2022-07-30 22:15:00",,"2022-07-30 22:10:27","2022-07-30 22:18:03","2022-07-30 21:48:49 ; 2022-07-30 22:08:08 ; 2022-07-30 22:10:08",,,,"2022-07-30 22:00:33","2022-07-30 22:07:34 ; 2022-07-30 22:07:57","2022-07-30 22:15:06",,,,,,"2022-07-30 21:39:24 ; 2022-07-30 21:39:48 ; 2022-07-30 21:48:50 ; 2022-07-30 21:49:05 ; 2022-07-30 21:54:15 ; 2022-07-30 22:00:18 ; 2022-07-30 22:00:29 ; 2022-07-30 22:05:04 ; 2022-07-30 22:07:25 ; 2022-07-30 22:07:52 ; 2022-07-30 22:10:19 ; 2022-07-30 22:15:01 ; 2022-07-30 22:18:04","2022-07-30 21:49:16","2022-07-30 21:54:23","2022-07-30 22:18:31",,"2022-07-30 22:18:09",,,,,,,,,,
2022-07-30T00:26:48Z,2022-07-30T01:26:10Z,"9698-1-5-63-0",,,"2022-07-29 20:35:35",,,"2022-07-29 20:27:09 ; 2022-07-29 20:33:54 ; 2022-07-29 20:34:31 ; 2022-07-29 20:34:36 ; 2022-07-29 20:34:58 ; 2022-07-29 20:35:12 ; 2022-07-29 20:35:17","2022-07-29 21:02:33",,,,,"2022-07-29 21:09:11",,,,"2022-07-29 20:26:58 ; 2022-07-29 20:34:29 ; 2022-07-29 20:35:25",,"2022-07-29 21:00:07 ; 2022-07-29 21:06:39",,,"2022-07-29 21:08:51",,"2022-07-29 21:17:04","2022-07-29 20:40:13 ; 2022-07-29 20:53:01",,"2022-07-29 21:02:47","2022-07-29 21:23:35","2022-07-29 21:25:10","2022-07-29 20:33:51 ; 2022-07-29 20:34:15",,,,"2022-07-29 21:00:40","2022-07-29 20:26:50 ; 2022-07-29 20:34:27 ; 2022-07-29 20:35:20 ; 2022-07-29 20:35:29 ; 2022-07-29 20:53:02 ; 2022-07-29 21:02:41 ; 2022-07-29 21:08:57 ; 2022-07-29 21:16:31 ; 2022-07-29 21:23:25 ; 2022-07-29 21:24:58","2022-07-29 20:35:39 ; 2022-07-29 20:52:34","2022-07-29 20:53:16 ; 2022-07-29 20:53:22","2022-07-29 21:26:08",,"2022-07-29 21:25:42",,"2022-07-29 20:56:44",,,,,,,,
