"Created date","Updated date","userid","perfil4_inicio.p6","y_contestar.p6","perfil2_inicio.p6","bcontestaryn_inicio.p6","perfil3_inicio.p6","perfil1_inicio.p6","volverinicio_saludable.p6","video_ps.p6","volveratras_ps.p6","n_contestar.p6","cm_contestar.p6","volverinicio_contestar.p6","videopausa_ps.p6","videoplay_ps.p6","volveratras_clickaqui.p6","volverinicio_masinfo.p4","leaesto_inicio.p6","bcontestaryn_masinfo.p4","cm_instrucciones.p6","ps_instrucciones.p6","volveratras_cm.p6","volverinicio_novoyavivir.p6","volverinicio_heahorrado.p6","volverinicio_sinsalud.p6","cm_masinfo.p4","volveratras_difmodmix.p6","ps_masinfo.p4","difmodmix_masinfo.p4","pg_masinfo.p4","gf_masinfo.p4","volveratras_ctiempo.p6","volveratras_gf.p6","ctiempo_masinfo.p4","volveratras_pg.p6","gf_novoyavivir.p6","difmodmix_heahorrado.p6","ctiempo_novoyavivir.p6","gf_sinsalud.p6","gf_heahorrado.p6","ctiempo_sinsalud.p6","gf_saludable.p6","pg_saludable.p6","gf_clickaqui.p6","cm_clickaqui.p6","psvideopausa_novoyavivir.p6","volverinicio_clickaqui.p6","cmvideoplay_saludable.p6","cmvideoplay_novoyavivir.p6","psvideoplay_novoyavivir.p6","cmvideopausa_novoyavivir.p6","videoplay_cm.p6","psvideopausa_saludable.p6","volverinicio_instrucciones.p6","videopausa_cm.p6","cmvideopausa_saludable.p6","psvideoplay_saludable.p6","cmvideoplay_heahorrado.p6","psvideopausa_heahorrado.p6","cmvideopausa_heahorrado.p6","psvideoplay_heahorrado.p6","inicio_wix.p6","bleaesto_masinfo.p4","psvideoplay_sinsalud.p6","ps_contestar.p6","psvideopausa_sinsalud.p6","volverinicio_masinfo.p6","bleaesto_masinfo.p6","bcontestaryn_masinfo.p6","difmodmix_masinfo.p6","ctiempo_masinfo.p6","bcontestaryn_saludable.p6","bcontestaryn_heahorrado.p6","bcontestaryn_novoyavivir.p6","bcontestaryn_sinsalud.p6","ps_masinfo.p6","cmvideoplay_sinsalud.p6","cmvideopausa_sinsalud.p6","cm_masinfo.p6"
2022-08-01T23:39:08Z,2022-08-01T23:47:56Z,"7218-1-6-53-0",,"2022-08-01 19:47:54",,,,"2022-08-01 19:40:22",,,,,,,,,,,"2022-08-01 19:39:15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-08-01 19:39:44","2022-08-01 19:40:51",,,,,,"2022-08-01 19:40:14",,"2022-08-01 19:47:33",,,,,,"2022-08-01 19:39:07 ; 2022-08-01 19:39:45 ; 2022-08-01 19:40:15",,,,,,,,,,"2022-08-01 19:47:38",,,,,,,
2022-07-29T13:25:13Z,2022-07-29T13:47:37Z,"4537-1-6-63-0",,"2022-06-29 09:47:35",,,,"2022-07-29 09:25:15 ; 2022-07-29 09:26:16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-06-29 09:25:39 ; 2022-06-29 09:25:41 ; 2022-06-29 09:25:43 ; 2022-06-29 09:25:46 ; 2022-06-29 09:25:54 ; 2022-06-29 09:26:23 ; 2022-06-29 09:26:39 ; 2022-06-29 09:26:45 ; 2022-06-29 09:26:54 ; 2022-06-29 09:27:15 ; 2022-06-29 09:27:32 ; 2022-06-29 09:27:47 ; 2022-06-29 09:28:00 ; 2022-06-29 09:28:20 ; 2022-06-29 09:28:35 ; 2022-06-29 09:28:45 ; 2022-06-29 09:29:03 ; 2022-06-29 09:29:20 ; 2022-06-29 09:29:31 ; 2022-06-29 09:29:50 ; 2022-06-29 09:30:06 ; 2022-06-29 09:30:19 ; 2022-06-29 09:30:31 ; 2022-06-29 09:30:46 ; 2022-06-29 09:31:04 ; 2022-06-29 09:31:17 ; 2022-06-29 09:31:31 ; 2022-06-29 09:31:42 ; 2022-06-29 09:32:02 ; 2022-06-29 09:32:20 ; 2022-06-29 09:32:35 ; 2022-06-29 09:32:46 ; 2022-06-29 09:32:57 ; 2022-06-29 09:33:07 ; 2022-06-29 09:33:31 ; 2022-06-29 09:33:57 ; 2022-06-29 09:34:12 ; 2022-06-29 09:34:31 ; 2022-06-29 09:34:47 ; 2022-06-29 09:34:59 ; 2022-06-29 09:35:09 ; 2022-06-29 09:35:19 ; 2022-06-29 09:35:31 ; 2022-06-29 09:35:40 ; 2022-06-29 09:35:52 ; 2022-06-29 09:36:06 ; 2022-06-29 09:36:52 ; 2022-06-29 09:36:55 ; 2022-06-29 09:37:03 ; 2022-06-29 09:37:14 ; 2022-06-29 09:37:22 ; 2022-06-29 09:37:35 ; 2022-06-29 09:37:47 ; 2022-06-29 09:38:00 ; 2022-06-29 09:38:35 ; 2022-06-29 09:38:53 ; 2022-06-29 09:39:38 ; 2022-06-29 09:39:51 ; 2022-06-29 09:40:00",,,,,,,,"2022-06-29 09:36:15 ; 2022-06-29 09:40:11","2022-06-29 09:40:17 ; 2022-06-29 09:40:19 ; 2022-06-29 09:40:21 ; 2022-06-29 09:40:27 ; 2022-06-29 09:40:36 ; 2022-06-29 09:41:37 ; 2022-06-29 09:41:46 ; 2022-06-29 09:42:15 ; 2022-06-29 09:42:27 ; 2022-06-29 09:42:37 ; 2022-06-29 09:42:50 ; 2022-06-29 09:43:06 ; 2022-06-29 09:43:39 ; 2022-06-29 09:43:52 ; 2022-06-29 09:44:01 ; 2022-06-29 09:44:57 ; 2022-06-29 09:45:08 ; 2022-06-29 09:45:23 ; 2022-06-29 09:45:34 ; 2022-06-29 09:45:46 ; 2022-06-29 09:45:57 ; 2022-06-29 09:46:12 ; 2022-06-29 09:46:27 ; 2022-06-29 09:46:37 ; 2022-06-29 09:46:49 ; 2022-06-29 09:47:02 ; 2022-06-29 09:47:16",,,,,"2022-07-29 09:25:11 ; 2022-07-29 09:26:14",,,,,,,,,,"2022-06-29 09:47:23",,,,,,,
2022-07-29T15:40:49Z,2022-07-29T15:57:53Z,"393-2-6-60-0",,"2022-06-29 11:57:05",,"2022-07-29 11:49:54",,,,,"2022-06-29 11:56:31",,"2022-06-29 11:50:16",,,"2022-06-29 11:51:37",,,"2022-07-29 11:40:15",,,,"2022-06-29 11:47:48 ; 2022-06-29 11:51:29",,,,,,,,,,,"2022-06-29 11:49:41",,,,,,,,,,,"2022-06-29 11:48:03","2022-06-29 11:41:09",,"2022-06-29 11:49:47",,,,,"2022-06-29 11:41:13",,,,,,,,,,"2022-07-29 11:40:01 ; 2022-07-29 11:49:48",,,"2022-06-29 11:51:32",,,,,,,,,,,,,,
2022-07-31T16:00:33Z,2022-07-31T16:01:39Z,"35-1-6-63-0","2022-07-31 12:01:00","2022-07-31 12:01:37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-07-31 12:01:12","2022-07-31 12:01:27",,,,,,,,,,,,"2022-07-31 12:00:32 ; 2022-07-31 12:00:50",,,,,,,,,,,,"2022-07-31 12:01:31",,,,,
2022-07-29T13:38:35Z,2022-07-29T13:52:26Z,"2748-1-6-55-0",,"2022-06-29 09:52:24",,,,"2022-07-29 09:40:20",,,,,,,,,,,"2022-07-29 09:38:41",,,,,,,,,,,,,,,"2022-06-29 09:51:57",,,,,,,,,"2022-06-29 09:48:11",,,,,"2022-06-29 09:39:58",,,,,,,,,,,,,,,"2022-07-29 09:38:33",,,,,,,,,,"2022-06-29 09:52:03",,,,,,,
2022-07-28T18:47:42Z,2022-07-28T18:47:42Z,"2170-2-6-52-0",,,,,,,,,,,,,,,,,"2022-06-28 13:47:41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-31T12:24:48Z,2022-07-31T12:38:28Z,"7246-2-6-60-0","2022-07-31 08:29:48","2022-07-31 08:38:26","2022-07-31 08:25:10",,"2022-07-31 08:27:25","2022-07-31 08:25:43",,,,,,,,,,,"2022-07-31 08:26:14",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-07-31 08:37:51",,,,"2022-07-31 08:32:51",,,,,,,,,,,,"2022-07-31 08:24:46 ; 2022-07-31 08:24:53 ; 2022-07-31 08:25:07 ; 2022-07-31 08:25:36 ; 2022-07-31 08:26:10 ; 2022-07-31 08:27:20 ; 2022-07-31 08:29:40",,,,,,,,,,,,"2022-07-31 08:37:53",,,,,
2022-07-29T17:03:23Z,2022-07-29T17:33:26Z,"5000-1-6-63-0",,"2022-06-29 13:33:25","2022-07-29 13:26:10","2022-07-29 13:32:59","2022-07-29 13:26:48","2022-07-29 13:03:57","2022-06-29 13:26:07",,,,,,,,,,"2022-07-29 13:03:26",,,,,,"2022-06-29 13:32:52","2022-06-29 13:26:44",,"2022-06-29 13:32:48",,,,,,"2022-06-29 13:20:10 ; 2022-06-29 13:24:32",,"2022-06-29 13:26:03",,"2022-06-29 13:29:40",,,,,"2022-06-29 13:19:58 ; 2022-06-29 13:23:32","2022-06-29 13:24:35",,,,"2022-06-29 13:03:38","2022-06-29 13:04:18 ; 2022-06-29 13:13:42 ; 2022-06-29 13:20:12 ; 2022-06-29 13:20:15 ; 2022-06-29 13:20:17",,,,,,,,"2022-06-29 13:07:30 ; 2022-06-29 13:17:12 ; 2022-06-29 13:20:28","2022-06-29 13:17:07 ; 2022-06-29 13:20:31 ; 2022-06-29 13:20:32 ; 2022-06-29 13:20:34","2022-06-29 13:26:53","2022-06-29 13:29:38","2022-06-29 13:29:34","2022-06-29 13:29:37","2022-07-29 13:03:22 ; 2022-07-29 13:03:39 ; 2022-07-29 13:26:08 ; 2022-07-29 13:26:45 ; 2022-07-29 13:32:53",,,,,,,,,,,,,,,,,
2022-07-29T01:26:35Z,2022-07-29T01:27:08Z,"5678-1-6-58-0",,"2022-06-28 21:27:10",,"2022-07-28 21:27:03",,,,,,,,,,,,,"2022-07-28 21:26:37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-06-28 21:26:45",,,,,,,,,,,,,,,"2022-07-28 21:26:36 ; 2022-07-28 21:26:45",,,,,,,,,,,,,,,,,
2022-07-29T16:33:29Z,2022-07-29T16:51:56Z,"2190-2-6-58-0","2022-07-29 12:35:04","2022-06-29 12:51:54",,,,,,,,,"2022-06-29 12:50:57",,,,,,"2022-07-29 12:33:41",,,,"2022-06-29 12:51:24",,,,,,,,,,,"2022-06-29 12:50:04",,,"2022-06-29 12:48:39",,,,,,,,,,,"2022-06-29 12:34:35",,"2022-06-29 12:36:15","2022-06-29 12:43:40","2022-06-29 12:42:56",,,,,,,,,,,"2022-07-29 12:33:27 ; 2022-07-29 12:33:37 ; 2022-07-29 12:34:36",,,,,,,,,,,,"2022-06-29 12:50:14",,,,,
