variable_name,main_action,relevant_subset_information
Created date,Time stamp,
Updated date,,
userid,User Id ,Unico por participante
cmvideoplay_invsinafp.p2,Play,Video Modalidades
volverinicio_contestar.p2,,
volverinicio_invconafp.p2,,
bcontestaryn_inicio.p2,,
rsh_pgusinafp.p2,,
volveratras_ps.p2,,
videoplay_cm.p2,Play,Video Modalidades
bleaesto_masinfo.p2,,
cm_inicio.p2,,
cu_masinfo.p2,,
videopausa_cm.p2,Pausa,Video Modalidades
rsh_pguconafp.p2,,
ejpgu_pguconafp.p2,,
ps_inicio.p2,,
ci_invsinafp.p2,,
cm_instrucciones.p2,,
ejpgu_masinfo.p2,,
pguconafp_inicio.p2,,
volveratras_cu.p2,,
rsh_inicio.p2,,
volverinicio_pgusinafp.p2,,
cm_contestar.p2,,
bcontestaryn_masinfo.p2,,
cmvideoplay_pgusinafp.p2,Play,Video Modalidades
volveratras_ci.p2,,
psvideoplay_pgusinafp.p2,Play,Video pasos a seguir
volveratras_rsh.p2,,
ps_instrucciones.p2,,
volverinicio_instrucciones.p2,,
volverinicio_pgusconafp.p2,,
rsh_masinfo.p2,,
psvideoplay_pguconafp.p2,Play,Video pasos a seguir
bleaesto_inicio.p2,,
psvideopausa_invsinafp.p2,Pausa,Video pasos a seguir
ci_inicio.p2,,
ci_masinfo.p2,,
cm_masinfo.p2,,
cmvideopausa_pguconafp.p2,Pausa,Video Modalidades
volveratras_masinfo.p2,,
cu_inicio.p2,,
volverinicio_clickaqui.p2,,
ps_masinfo.p2,,
volveratras_cm.p2,,
ps_contestar.p2,,
cmvideoplay_pguconafp.p2,Play,Video Modalidades
cu_pgusinafp.p2,,
invsinafp_inicio.p2,,
volverinicio_invsinafp.p2,,
pgusinafp_inicio.p2,,
y_contestar.p2,,
cmvideopausa_invsinafp.p2,Pausa,Video Modalidades
cmvideopausa_pgusinafp.p2,Pausa,Video Modalidades
ejpgu_inicio.p2,,
n_contestar.p2,,
ci_invconafp.p2,,
invconafp_inicio.p2,,
rsh_invconafp.p2,,
rsh_invsinafp.p2,,
volveratras_clickaqui.p2,,
psvideopausa_pgusinafp.p2,Pausa,Video pasos a seguir
videoplay_ps.p2,Play,Video pasos a seguir
videopausa_ps.p2,Pausa,Video pasos a seguir
inicio_wix.p2,,
psvideopausa_pguconafp.p2,Pausa,Video pasos a seguir
psvideoplay_invconafp.p2,Play,Video pasos a seguir
cmvideoplay_invconfp.p2,Play,Video Modalidades
psvideoplay_invsinafp.p2,Play,Video pasos a seguir
psvideopausa_invconafp.p2,Pausa,Video pasos a seguir
cmvideopausa_invconafp.p2,Pausa,Video Modalidades
